Date,Open,High,Low,Close,Volume
2015-01-01,314.57,315.82,313.36,315.0,265313
2015-01-02,315.06,321.34,307.24,315.46,469013
2015-01-03,315.09,321.74,309.75,315.93,280831
2015-01-04,314.12,318.14,311.63,315.52,417133
2015-01-05,315.97,319.69,312.7,314.5,391976
2015-01-06,316.36,320.35,308.18,314.21,381585
2015-01-07,314.64,321.75,308.02,314.66,550635
2015-01-08,315.24,322.97,304.63,314.14,278033
2015-01-09,314.68,317.04,308.27,313.0,629047
2015-01-10,313.37,320.92,307.47,311.7,536894
2015-01-11,312.58,313.82,308.61,311.38,322546
2015-01-12,311.75,312.76,308.05,310.81,262005
2015-01-13,310.52,315.49,303.29,309.36,308281
2015-01-14,308.62,316.17,301.52,308.06,326610
2015-01-15,307.83,310.51,303.78,307.12,419898
2015-01-16,307.41,310.36,300.4,307.48,189298
2015-01-17,307.19,314.55,300.53,308.73,600012
2015-01-18,309.02,309.8,306.75,308.13,207887
2015-01-19,308.54,309.45,306.37,307.5,292849
2015-01-20,308.27,310.18,304.91,308.06,207171
2015-01-21,309.24,313.55,304.29,308.26,287231
2015-01-22,308.33,311.55,305.4,309.07,632487
2015-01-23,307.86,312.63,297.46,306.52,452288
2015-01-24,306.21,308.72,302.62,305.95,262197
2015-01-25,305.99,310.42,303.62,305.66,556679
2015-01-26,303.98,305.98,303.36,305.55,532656
2015-01-27,306.82,307.98,305.43,305.93,527089
2015-01-28,306.06,308.28,301.37,305.06,552164
2015-01-29,305.41,306.46,302.67,305.39,467087
2015-01-30,306.64,312.31,298.21,304.32,419814
2015-01-31,303.75,307.56,302.62,305.87,326866
2015-02-01,306.4,316.66,299.47,305.76,266737
2015-02-02,305.66,315.0,292.75,305.09,437210
2015-02-03,304.92,306.54,301.03,303.98,602962
2015-02-04,303.28,306.0,301.52,302.74,438866
2015-02-05,304.26,310.58,297.24,303.38,661221
2015-02-06,303.04,309.38,290.39,300.96,319880
2015-02-07,301.59,302.51,300.19,300.56,473780
2015-02-08,298.87,301.46,297.87,300.23,492670
2015-02-09,301.3,303.73,299.48,301.94,479103
2015-02-10,302.9,306.22,300.97,302.76,460664
2015-02-11,302.85,306.56,297.4,302.2,269953
2015-02-12,301.99,304.32,295.83,301.1,237679
2015-02-13,301.46,302.36,298.93,299.54,619744
2015-02-14,301.6,304.74,296.23,298.77,174632
2015-02-15,297.19,306.09,292.83,298.34,396428
2015-02-16,299.04,301.42,297.33,299.91,352104
2015-02-17,299.09,302.8,296.86,300.39,339329
2015-02-18,300.38,302.76,296.55,299.1,529295
2015-02-19,298.88,301.51,293.46,298.24,510327
2015-02-20,297.85,300.14,295.08,297.38,570783
2015-02-21,297.37,300.72,295.96,297.87,327863
2015-02-22,296.86,301.85,294.1,297.77,420785
2015-02-23,298.69,301.04,295.23,298.51,581336
2015-02-24,296.9,300.41,296.33,299.39,651769
2015-02-25,299.88,300.63,296.57,297.99,633511
2015-02-26,297.7,301.0,290.65,296.68,491720
2015-02-27,295.64,298.19,293.87,295.92,226272
2015-02-28,296.1,299.69,291.96,296.95,163517
2015-03-01,295.57,297.65,294.8,296.51,539504
2015-03-02,296.55,298.08,294.49,295.82,586137
2015-03-03,294.55,296.73,292.16,293.97,503219
2015-03-04,294.38,298.97,288.03,293.13,277393
2015-03-05,292.32,296.87,289.24,293.55,472293
2015-03-06,293.16,295.64,292.1,295.05,297563
2015-03-07,295.31,297.35,293.9,295.57,351630
2015-03-08,294.88,297.7,289.53,295.4,339610
2015-03-09,295.35,297.78,288.89,294.35,577989
2015-03-10,293.01,296.67,291.99,293.62,263245
2015-03-11,294.17,295.42,291.66,292.84,415203
2015-03-12,294.39,296.32,291.36,293.39,308386
2015-03-13,295.85,299.83,291.8,293.52,455811
2015-03-14,293.6,303.76,289.44,294.1,486328
2015-03-15,294.79,297.44,286.81,290.75,560234
2015-03-16,289.19,292.28,285.8,291.06,207907
2015-03-17,292.37,298.06,288.23,289.68,263596
2015-03-18,290.36,295.53,286.72,291.06,507774
2015-03-19,290.64,292.22,289.47,290.22,343721
2015-03-20,291.3,293.26,281.23,288.41,219647
2015-03-21,288.19,290.97,286.19,288.16,364510
2015-03-22,287.77,291.65,285.69,288.05,490797
2015-03-23,288.46,291.23,287.3,290.25,170584
2015-03-24,289.32,295.89,286.91,289.72,293141
2015-03-25,290.61,294.6,282.47,288.58,553929
2015-03-26,287.66,288.37,284.26,286.85,385831
2015-03-27,285.94,295.0,281.37,287.57,164723
2015-03-28,286.79,290.32,286.01,288.08,271887
2015-03-29,288.74,289.38,286.25,287.76,437079
2015-03-30,287.23,288.66,286.28,287.17,236973
2015-03-31,286.0,287.41,284.54,286.69,526010
2015-04-01,286.17,292.68,282.06,287.47,471094
2015-04-02,287.44,289.02,285.33,286.29,360222
2015-04-03,285.28,286.45,284.72,285.68,582865
2015-04-04,284.7,286.08,283.02,284.41,327665
2015-04-05,286.21,289.61,282.15,283.57,244189
2015-04-06,282.84,285.05,281.01,283.71,428177
2015-04-07,283.44,286.86,281.43,283.87,406241
2015-04-08,283.56,285.42,283.11,284.62,299043
2015-04-09,284.26,285.06,283.46,283.94,318541
2015-04-10,284.47,287.47,276.56,282.45,323093
2015-04-11,283.25,285.46,281.14,281.85,271032
2015-04-12,281.59,287.05,278.69,281.48,444777
2015-04-13,280.43,282.39,279.36,281.61,419372
2015-04-14,282.69,285.0,280.03,281.49,332136
2015-04-15,281.41,290.54,274.24,281.72,344068
2015-04-16,283.18,285.11,281.01,283.32,298108
2015-04-17,281.41,285.6,279.07,283.26,269541
2015-04-18,283.42,285.62,277.5,282.85,198921
2015-04-19,284.48,287.39,278.02,281.17,285537
