Strategy,Return%,CAGR%,MaxDD%,Sharpe,Sortino,Calmar,PF,WinRate%,Trades,AvgTrade%,TimeInMkt%
V1: Dual MA Crossover + Trend Filter,10626.2,58.97,-82.0,2.83,2.69,0.72,19.53,90.9,11,72.94,49.8
V2: RSI + Bollinger Bands Mean Reversion,-97.1,-29.52,-98.1,-2.37,-1.77,-0.3,0.2,34.8,23,-11.38,42.7
V3: MACD + RSI Momentum Cycles,219.3,12.2,-7.2,2.28,2.04,1.69,14.98,52.0,25,5.27,6.6
V4: Multi-Period Momentum + Volume,102.0,7.22,-20.8,1.19,0.47,0.35,146.77,80.0,5,16.83,6.6
V5: Adaptive Cycle (Dynamic Thresholds),-4.6,-0.47,-78.4,0.03,0.02,-0.01,2.16,53.6,28,9.65,32.5
V6: Dual MA + ATR Trailing Stop,1.3,0.13,-1.4,0.23,0.01,0.09,1.51,100.0,1,1.51,0.5
V7: MACD Momentum + Trend Hold,533.2,20.08,-22.3,2.68,2.22,0.9,40.82,90.9,11,20.05,10.9
V8: Weekly Momentum + Daily Entry,16015.0,65.51,-47.7,3.65,3.49,1.37,6.52,48.4,31,28.69,45.8
V9: Hybrid (MA + MACD + Dynamic Stops),10946.3,59.43,-49.3,3.6,2.74,1.21,11.09,50.0,16,66.67,28.8
V10: Simple 200 SMA Cycle Follower,25602.6,73.36,-68.9,3.3,3.43,1.07,64.39,70.0,10,288.92,56.1
